,F1 (dev),Prec (dev),Rec (dev),F1 (test),Prec (test),Rec (test)
A,0.216,0.154,0.364,0.4,0.5,0.333
B,0.387,0.24,1.0,0.5,0.333,1.0
D,0.621,0.72,0.545,0.609,0.583,0.636
F,0.4,0.273,0.75,0.0,0.0,0.0
H,0.583,0.438,0.875,0.667,0.5,1.0
K,0.581,0.5,0.692,0.5,0.4,0.667
L,0.713,0.838,0.62,0.741,0.833,0.667
N,0.37,0.5,0.294,0.5,0.4,0.667
P,0.709,0.667,0.757,0.583,0.636,0.538
R,0.702,0.741,0.667,0.615,0.667,0.571
S,0.424,0.7,0.304,0.714,1.0,0.556
T,0.524,0.458,0.611,0.615,0.571,0.667
U,0.621,0.6,0.643,0.75,0.75,0.75
W,0.706,0.667,0.75,0.5,1.0,0.333
X,0.421,0.5,0.364,0.0,0.0,0.0
Y,0.222,0.25,0.2,0.0,0.0,0.0
